"measure","value"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150301/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.23"
"Lifted index","0.79"
"LIFT computed using virtual temperature","0.67"
"SWEAT index","192.41"
"K index","20.60"
"Cross totals index","20.80"
"Vertical totals index","24.90"
"Totals totals index","45.70"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","-441.25"
"Equilibrum Level using virtual temperature","505.44"
"LFCT using virtual temperature","511.37"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","289.02"
"Pres [hPa] of the Lifted Condensation Level","883.82"
"Mean mixed layer potential temperature","299.42"
"Mean mixed layer mixing ratio","13.01"
"1000 hPa to 500 hPa thickness","5774.00"
"Precipitable water [mm] for entire sounding","43.16"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150305/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.04"
"Lifted index","4.59"
"LIFT computed using virtual temperature","4.81"
"SWEAT index","197.20"
"K index","33.10"
"Cross totals index","19.00"
"Vertical totals index","22.70"
"Totals totals index","41.70"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","288.47"
"Pres [hPa] of the Lifted Condensation Level","909.42"
"Mean mixed layer potential temperature","296.42"
"Mean mixed layer mixing ratio","12.22"
"1000 hPa to 500 hPa thickness","5745.00"
"Precipitable water [mm] for entire sounding","51.77"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150306/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.83"
"Lifted index","2.46"
"LIFT computed using virtual temperature","2.49"
"SWEAT index","178.01"
"K index","30.50"
"Cross totals index","17.50"
"Vertical totals index","23.50"
"Totals totals index","41.00"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","290.03"
"Pres [hPa] of the Lifted Condensation Level","908.88"
"Mean mixed layer potential temperature","298.07"
"Mean mixed layer mixing ratio","13.51"
"1000 hPa to 500 hPa thickness","5771.00"
"Precipitable water [mm] for entire sounding","50.89"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150306/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.87"
"Lifted index","-3.41"
"LIFT computed using virtual temperature","-3.69"
"SWEAT index","203.21"
"K index","35.20"
"Cross totals index","21.40"
"Vertical totals index","24.30"
"Totals totals index","45.70"
"Convective Available Potential Energy","986.45"
"CAPE using virtual temperature","1098.13"
"Convective Inhibition","-21.96"
"CINS using virtual temperature","-15.10"
"Equilibrum Level","163.72"
"Equilibrum Level using virtual temperature","161.06"
"Level of Free Convection","858.29"
"LFCT using virtual temperature","875.08"
"Bulk Richardson Number","102.24"
"Bulk Richardson Number using CAPV","113.82"
"Temp [K] of the Lifted Condensation Level","293.82"
"Pres [hPa] of the Lifted Condensation Level","923.28"
"Mean mixed layer potential temperature","300.62"
"Mean mixed layer mixing ratio","16.94"
"1000 hPa to 500 hPa thickness","5766.00"
"Precipitable water [mm] for entire sounding","56.04"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150307/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.73"
"Lifted index","-2.69"
"LIFT computed using virtual temperature","-3.00"
"SWEAT index","193.21"
"K index","33.40"
"Cross totals index","20.00"
"Vertical totals index","24.30"
"Totals totals index","44.30"
"Convective Available Potential Energy","439.49"
"CAPE using virtual temperature","532.07"
"Convective Inhibition","-37.08"
"CINS using virtual temperature","-22.48"
"Equilibrum Level","207.97"
"Equilibrum Level using virtual temperature","207.77"
"Level of Free Convection","804.98"
"LFCT using virtual temperature","850.06"
"Bulk Richardson Number","60.40"
"Bulk Richardson Number using CAPV","73.12"
"Temp [K] of the Lifted Condensation Level","293.76"
"Pres [hPa] of the Lifted Condensation Level","943.82"
"Mean mixed layer potential temperature","298.67"
"Mean mixed layer mixing ratio","16.50"
"1000 hPa to 500 hPa thickness","5756.00"
"Precipitable water [mm] for entire sounding","54.32"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150307/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.56"
"Lifted index","-2.43"
"LIFT computed using virtual temperature","-2.93"
"SWEAT index","213.21"
"K index","34.00"
"Cross totals index","22.20"
"Vertical totals index","23.90"
"Totals totals index","46.10"
"Convective Available Potential Energy","635.30"
"CAPE using virtual temperature","752.29"
"Convective Inhibition","-57.58"
"CINS using virtual temperature","-42.81"
"Equilibrum Level","193.69"
"Equilibrum Level using virtual temperature","193.57"
"Level of Free Convection","777.09"
"LFCT using virtual temperature","798.32"
"Bulk Richardson Number","59.92"
"Bulk Richardson Number using CAPV","70.95"
"Temp [K] of the Lifted Condensation Level","292.68"
"Pres [hPa] of the Lifted Condensation Level","907.01"
"Mean mixed layer potential temperature","300.97"
"Mean mixed layer mixing ratio","16.05"
"1000 hPa to 500 hPa thickness","5772.00"
"Precipitable water [mm] for entire sounding","52.65"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150308/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.71"
"Lifted index","-1.07"
"LIFT computed using virtual temperature","-1.28"
"SWEAT index","182.81"
"K index","33.00"
"Cross totals index","19.80"
"Vertical totals index","24.70"
"Totals totals index","44.50"
"Convective Available Potential Energy","94.20"
"CAPE using virtual temperature","120.82"
"Convective Inhibition","-167.62"
"CINS using virtual temperature","-126.23"
"Equilibrum Level","430.88"
"Equilibrum Level using virtual temperature","426.80"
"Level of Free Convection","626.13"
"LFCT using virtual temperature","634.32"
"Bulk Richardson Number","38.55"
"Bulk Richardson Number using CAPV","49.44"
"Temp [K] of the Lifted Condensation Level","291.83"
"Pres [hPa] of the Lifted Condensation Level","920.28"
"Mean mixed layer potential temperature","298.85"
"Mean mixed layer mixing ratio","14.98"
"1000 hPa to 500 hPa thickness","5758.00"
"Precipitable water [mm] for entire sounding","50.32"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150308/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.36"
"Lifted index","-4.56"
"LIFT computed using virtual temperature","-5.27"
"SWEAT index","227.81"
"K index","35.80"
"Cross totals index","21.60"
"Vertical totals index","25.30"
"Totals totals index","46.90"
"Convective Available Potential Energy","1521.62"
"CAPE using virtual temperature","1691.37"
"Convective Inhibition","-31.62"
"CINS using virtual temperature","-16.20"
"Equilibrum Level","134.92"
"Equilibrum Level using virtual temperature","134.83"
"Level of Free Convection","809.98"
"LFCT using virtual temperature","870.07"
"Bulk Richardson Number","1232.73"
"Bulk Richardson Number using CAPV","1370.25"
"Temp [K] of the Lifted Condensation Level","294.54"
"Pres [hPa] of the Lifted Condensation Level","929.52"
"Mean mixed layer potential temperature","300.77"
"Mean mixed layer mixing ratio","17.63"
"1000 hPa to 500 hPa thickness","5772.00"
"Precipitable water [mm] for entire sounding","53.24"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150309/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.32"
"Lifted index","0.43"
"LIFT computed using virtual temperature","-0.12"
"SWEAT index","191.00"
"K index","33.70"
"Cross totals index","19.10"
"Vertical totals index","24.10"
"Totals totals index","43.20"
"Convective Available Potential Energy","2.67"
"CAPE using virtual temperature","26.81"
"Convective Inhibition","-221.13"
"CINS using virtual temperature","-186.51"
"Equilibrum Level","566.56"
"Equilibrum Level using virtual temperature","485.92"
"Level of Free Convection","598.78"
"LFCT using virtual temperature","612.62"
"Bulk Richardson Number","1.05"
"Bulk Richardson Number using CAPV","10.54"
"Temp [K] of the Lifted Condensation Level","291.17"
"Pres [hPa] of the Lifted Condensation Level","914.68"
"Mean mixed layer potential temperature","298.69"
"Mean mixed layer mixing ratio","14.44"
"1000 hPa to 500 hPa thickness","5756.00"
"Precipitable water [mm] for entire sounding","47.15"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150309/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.66"
"Lifted index","-3.60"
"LIFT computed using virtual temperature","-4.59"
"SWEAT index","219.41"
"K index","36.70"
"Cross totals index","20.80"
"Vertical totals index","24.90"
"Totals totals index","45.70"
"Convective Available Potential Energy","1356.31"
"CAPE using virtual temperature","1514.48"
"Convective Inhibition","-34.76"
"CINS using virtual temperature","-14.60"
"Equilibrum Level","139.36"
"Equilibrum Level using virtual temperature","137.42"
"Level of Free Convection","800.95"
"LFCT using virtual temperature","833.57"
"Bulk Richardson Number","335.66"
"Bulk Richardson Number using CAPV","374.81"
"Temp [K] of the Lifted Condensation Level","294.53"
"Pres [hPa] of the Lifted Condensation Level","935.34"
"Mean mixed layer potential temperature","300.23"
"Mean mixed layer mixing ratio","17.50"
"1000 hPa to 500 hPa thickness","5762.00"
"Precipitable water [mm] for entire sounding","52.87"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150310/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.73"
"Lifted index","1.02"
"LIFT computed using virtual temperature","0.48"
"SWEAT index","192.20"
"K index","31.60"
"Cross totals index","18.80"
"Vertical totals index","23.50"
"Totals totals index","42.30"
"Convective Available Potential Energy","25.98"
"CAPE using virtual temperature","52.03"
"Convective Inhibition","-241.64"
"CINS using virtual temperature","-204.22"
"Equilibrum Level","513.65"
"Equilibrum Level using virtual temperature","507.25"
"Level of Free Convection","607.56"
"LFCT using virtual temperature","629.78"
"Bulk Richardson Number","22.82"
"Bulk Richardson Number using CAPV","45.69"
"Temp [K] of the Lifted Condensation Level","291.59"
"Pres [hPa] of the Lifted Condensation Level","928.26"
"Mean mixed layer potential temperature","297.87"
"Mean mixed layer mixing ratio","14.62"
"1000 hPa to 500 hPa thickness","5758.00"
"Precipitable water [mm] for entire sounding","46.76"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150301/1200"
