"measure","value"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.34"
"Lifted index","-3.46"
"LIFT computed using virtual temperature","-3.87"
"SWEAT index","204.00"
"K index","40.10"
"Cross totals index","21.70"
"Vertical totals index","24.10"
"Totals totals index","45.80"
"Convective Available Potential Energy","1311.73"
"CAPE using virtual temperature","1412.80"
"Convective Inhibition","-37.65"
"CINS using virtual temperature","-24.69"
"Equilibrum Level","155.36"
"Equilibrum Level using virtual temperature","155.38"
"Level of Free Convection","835.66"
"LFCT using virtual temperature","854.83"
"Bulk Richardson Number","122.63"
"Bulk Richardson Number using CAPV","132.08"
"Temp [K] of the Lifted Condensation Level","293.68"
"Pres [hPa] of the Lifted Condensation Level","908.79"
"Mean mixed layer potential temperature","301.83"
"Mean mixed layer mixing ratio","17.08"
"1000 hPa to 500 hPa thickness","5864.00"
"Precipitable water [mm] for entire sounding","60.60"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150310/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.26"
"Lifted index","-1.14"
"LIFT computed using virtual temperature","-1.99"
"SWEAT index","227.00"
"K index","36.80"
"Cross totals index","20.10"
"Vertical totals index","22.50"
"Totals totals index","42.60"
"Convective Available Potential Energy","850.76"
"CAPE using virtual temperature","978.35"
"Convective Inhibition","-49.77"
"CINS using virtual temperature","-33.23"
"Equilibrum Level","157.66"
"Equilibrum Level using virtual temperature","156.82"
"Level of Free Convection","822.48"
"LFCT using virtual temperature","833.49"
"Bulk Richardson Number","78.35"
"Bulk Richardson Number using CAPV","90.11"
"Temp [K] of the Lifted Condensation Level","293.02"
"Pres [hPa] of the Lifted Condensation Level","903.96"
"Mean mixed layer potential temperature","301.62"
"Mean mixed layer mixing ratio","16.54"
"1000 hPa to 500 hPa thickness","5776.00"
"Precipitable water [mm] for entire sounding","54.42"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150311/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","3.35"
"Lifted index","2.48"
"LIFT computed using virtual temperature","2.00"
"SWEAT index","179.40"
"K index","33.10"
"Cross totals index","16.90"
"Vertical totals index","22.90"
"Totals totals index","39.80"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","5.42"
"Convective Inhibition","0.00"
"CINS using virtual temperature","-218.53"
"Equilibrum Level using virtual temperature","544.00"
"LFCT using virtual temperature","631.98"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","3.68"
"Temp [K] of the Lifted Condensation Level","290.59"
"Pres [hPa] of the Lifted Condensation Level","910.62"
"Mean mixed layer potential temperature","298.48"
"Mean mixed layer mixing ratio","13.98"
"1000 hPa to 500 hPa thickness","5762.00"
"Precipitable water [mm] for entire sounding","47.85"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150311/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.97"
"Lifted index","-2.98"
"LIFT computed using virtual temperature","-3.36"
"SWEAT index","212.20"
"K index","39.80"
"Cross totals index","22.60"
"Vertical totals index","25.30"
"Totals totals index","47.90"
"Convective Available Potential Energy","387.53"
"CAPE using virtual temperature","435.55"
"Convective Inhibition","-69.33"
"CINS using virtual temperature","-59.88"
"Equilibrum Level","319.13"
"Equilibrum Level using virtual temperature","321.81"
"Level of Free Convection","749.13"
"LFCT using virtual temperature","760.48"
"Bulk Richardson Number","58.45"
"Bulk Richardson Number using CAPV","65.69"
"Temp [K] of the Lifted Condensation Level","293.23"
"Pres [hPa] of the Lifted Condensation Level","934.92"
"Mean mixed layer potential temperature","298.94"
"Mean mixed layer mixing ratio","16.11"
"1000 hPa to 500 hPa thickness","5758.00"
"Precipitable water [mm] for entire sounding","59.43"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150312/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.81"
"Lifted index","0.18"
"LIFT computed using virtual temperature","-0.20"
"SWEAT index","195.61"
"K index","34.70"
"Cross totals index","19.60"
"Vertical totals index","23.50"
"Totals totals index","43.10"
"Convective Available Potential Energy","76.16"
"CAPE using virtual temperature","110.09"
"Convective Inhibition","-161.15"
"CINS using virtual temperature","-139.77"
"Equilibrum Level","358.80"
"Equilibrum Level using virtual temperature","353.62"
"Level of Free Convection","664.54"
"LFCT using virtual temperature","674.38"
"Bulk Richardson Number","34.85"
"Bulk Richardson Number using CAPV","50.37"
"Temp [K] of the Lifted Condensation Level","292.85"
"Pres [hPa] of the Lifted Condensation Level","940.77"
"Mean mixed layer potential temperature","298.02"
"Mean mixed layer mixing ratio","15.62"
"1000 hPa to 500 hPa thickness","5765.00"
"Precipitable water [mm] for entire sounding","55.60"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150312/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.62"
"Lifted index","-2.12"
"LIFT computed using virtual temperature","-2.60"
"SWEAT index","196.00"
"K index","37.30"
"Cross totals index","20.40"
"Vertical totals index","21.90"
"Totals totals index","42.30"
"Convective Available Potential Energy","894.02"
"CAPE using virtual temperature","1004.91"
"Convective Inhibition","-9.20"
"CINS using virtual temperature","-3.79"
"Equilibrum Level","169.85"
"Equilibrum Level using virtual temperature","169.84"
"Level of Free Convection","889.29"
"LFCT using virtual temperature","911.10"
"Bulk Richardson Number","117.89"
"Bulk Richardson Number using CAPV","132.51"
"Temp [K] of the Lifted Condensation Level","294.18"
"Pres [hPa] of the Lifted Condensation Level","930.79"
"Mean mixed layer potential temperature","300.28"
"Mean mixed layer mixing ratio","17.19"
"1000 hPa to 500 hPa thickness","5781.00"
"Precipitable water [mm] for entire sounding","59.41"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150313/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.91"
"Lifted index","0.87"
"LIFT computed using virtual temperature","0.57"
"SWEAT index","194.01"
"K index","34.50"
"Cross totals index","19.80"
"Vertical totals index","22.90"
"Totals totals index","42.70"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.65"
"Convective Inhibition","0.00"
"CINS using virtual temperature","-159.51"
"Equilibrum Level using virtual temperature","535.41"
"LFCT using virtual temperature","547.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.49"
"Temp [K] of the Lifted Condensation Level","292.39"
"Pres [hPa] of the Lifted Condensation Level","939.98"
"Mean mixed layer potential temperature","297.62"
"Mean mixed layer mixing ratio","15.19"
"1000 hPa to 500 hPa thickness","5761.00"
"Precipitable water [mm] for entire sounding","51.40"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150313/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.20"
"Lifted index","-1.12"
"LIFT computed using virtual temperature","-1.22"
"SWEAT index","224.41"
"K index","37.30"
"Cross totals index","21.20"
"Vertical totals index","21.70"
"Totals totals index","42.90"
"Convective Available Potential Energy","285.00"
"CAPE using virtual temperature","318.38"
"Convective Inhibition","-23.14"
"CINS using virtual temperature","-19.27"
"Equilibrum Level","345.04"
"Equilibrum Level using virtual temperature","346.50"
"Level of Free Convection","872.58"
"LFCT using virtual temperature","879.19"
"Bulk Richardson Number","23.62"
"Bulk Richardson Number using CAPV","26.39"
"Temp [K] of the Lifted Condensation Level","293.83"
"Pres [hPa] of the Lifted Condensation Level","948.36"
"Mean mixed layer potential temperature","298.34"
"Mean mixed layer mixing ratio","16.50"
"1000 hPa to 500 hPa thickness","5757.00"
"Precipitable water [mm] for entire sounding","62.39"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150314/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.67"
"Lifted index","0.09"
"LIFT computed using virtual temperature","0.04"
"SWEAT index","167.21"
"K index","33.40"
"Cross totals index","18.30"
"Vertical totals index","25.30"
"Totals totals index","43.60"
"Convective Available Potential Energy","8.49"
"CAPE using virtual temperature","18.12"
"Convective Inhibition","-300.26"
"CINS using virtual temperature","-263.94"
"Equilibrum Level","399.39"
"Equilibrum Level using virtual temperature","398.64"
"Level of Free Convection","602.03"
"LFCT using virtual temperature","610.85"
"Bulk Richardson Number","1.28"
"Bulk Richardson Number using CAPV","2.73"
"Temp [K] of the Lifted Condensation Level","291.28"
"Pres [hPa] of the Lifted Condensation Level","921.66"
"Mean mixed layer potential temperature","298.16"
"Mean mixed layer mixing ratio","14.45"
"1000 hPa to 500 hPa thickness","5763.00"
"Precipitable water [mm] for entire sounding","51.62"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150314/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.03"
"Lifted index","-2.62"
"LIFT computed using virtual temperature","-2.97"
"SWEAT index","201.21"
"K index","33.40"
"Cross totals index","20.60"
"Vertical totals index","23.30"
"Totals totals index","43.90"
"Convective Available Potential Energy","1026.67"
"CAPE using virtual temperature","1138.42"
"Convective Inhibition","-46.34"
"CINS using virtual temperature","-34.74"
"Equilibrum Level","168.99"
"Equilibrum Level using virtual temperature","167.67"
"Level of Free Convection","847.30"
"LFCT using virtual temperature","859.98"
"Bulk Richardson Number","122.19"
"Bulk Richardson Number using CAPV","135.49"
"Temp [K] of the Lifted Condensation Level","293.56"
"Pres [hPa] of the Lifted Condensation Level","916.32"
"Mean mixed layer potential temperature","301.00"
"Mean mixed layer mixing ratio","16.80"
"1000 hPa to 500 hPa thickness","5786.00"
"Precipitable water [mm] for entire sounding","56.63"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150315/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.62"
"Lifted index","-1.06"
"LIFT computed using virtual temperature","-1.40"
"SWEAT index","188.40"
"K index","36.90"
"Cross totals index","20.00"
"Vertical totals index","23.10"
"Totals totals index","43.10"
"Convective Available Potential Energy","357.38"
"CAPE using virtual temperature","452.30"
"Convective Inhibition","-75.35"
"CINS using virtual temperature","-60.02"
"Equilibrum Level","235.44"
"Equilibrum Level using virtual temperature","235.77"
"Level of Free Convection","790.80"
"LFCT using virtual temperature","808.04"
"Bulk Richardson Number","58.84"
"Bulk Richardson Number using CAPV","74.47"
"Temp [K] of the Lifted Condensation Level","293.39"
"Pres [hPa] of the Lifted Condensation Level","934.46"
"Mean mixed layer potential temperature","299.14"
"Mean mixed layer mixing ratio","16.29"
"1000 hPa to 500 hPa thickness","5760.00"
"Precipitable water [mm] for entire sounding","53.93"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150302/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.58"
"Lifted index","0.72"
"LIFT computed using virtual temperature","0.34"
"SWEAT index","178.80"
"K index","35.40"
"Cross totals index","18.00"
"Vertical totals index","21.90"
"Totals totals index","39.90"
"Convective Available Potential Energy","104.69"
"CAPE using virtual temperature","138.55"
"Convective Inhibition","-91.77"
"CINS using virtual temperature","-71.50"
"Equilibrum Level","395.07"
"Equilibrum Level using virtual temperature","381.14"
"Level of Free Convection","752.07"
"LFCT using virtual temperature","768.54"
"Bulk Richardson Number","52.81"
"Bulk Richardson Number using CAPV","69.89"
"Temp [K] of the Lifted Condensation Level","292.50"
"Pres [hPa] of the Lifted Condensation Level","920.96"
"Mean mixed layer potential temperature","299.48"
"Mean mixed layer mixing ratio","15.62"
"1000 hPa to 500 hPa thickness","5765.00"
"Precipitable water [mm] for entire sounding","54.60"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150315/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.26"
"Lifted index","-1.23"
"LIFT computed using virtual temperature","-1.58"
"SWEAT index","205.61"
"K index","37.60"
"Cross totals index","20.80"
"Vertical totals index","23.50"
"Totals totals index","44.30"
"Convective Available Potential Energy","176.21"
"CAPE using virtual temperature","233.25"
"Convective Inhibition","-81.96"
"CINS using virtual temperature","-64.97"
"Equilibrum Level","379.29"
"Equilibrum Level using virtual temperature","368.97"
"Level of Free Convection","733.30"
"LFCT using virtual temperature","753.19"
"Bulk Richardson Number","19.95"
"Bulk Richardson Number using CAPV","26.41"
"Temp [K] of the Lifted Condensation Level","291.47"
"Pres [hPa] of the Lifted Condensation Level","886.43"
"Mean mixed layer potential temperature","301.69"
"Mean mixed layer mixing ratio","15.22"
"1000 hPa to 500 hPa thickness","5782.00"
"Precipitable water [mm] for entire sounding","56.07"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150316/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.34"
"Lifted index","1.61"
"LIFT computed using virtual temperature","1.12"
"SWEAT index","185.61"
"K index","32.70"
"Cross totals index","18.40"
"Vertical totals index","22.50"
"Totals totals index","40.90"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","291.53"
"Pres [hPa] of the Lifted Condensation Level","926.58"
"Mean mixed layer potential temperature","297.96"
"Mean mixed layer mixing ratio","14.59"
"1000 hPa to 500 hPa thickness","5764.00"
"Precipitable water [mm] for entire sounding","49.29"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150316/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Lifted index","-2.02"
"LIFT computed using virtual temperature","-2.77"
"Convective Available Potential Energy","34.64"
"CAPE using virtual temperature","41.60"
"Convective Inhibition","-11.38"
"CINS using virtual temperature","-10.34"
"Level of Free Convection","887.98"
"LFCT using virtual temperature","892.99"
"Temp [K] of the Lifted Condensation Level","294.63"
"Pres [hPa] of the Lifted Condensation Level","947.75"
"Mean mixed layer potential temperature","299.20"
"Mean mixed layer mixing ratio","17.35"
"Precipitable water [mm] for entire sounding","37.95"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150317/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.19"
"Lifted index","0.84"
"LIFT computed using virtual temperature","0.45"
"SWEAT index","191.21"
"K index","31.00"
"Cross totals index","18.80"
"Vertical totals index","21.70"
"Totals totals index","40.50"
"Convective Available Potential Energy","1.87"
"CAPE using virtual temperature","9.50"
"Convective Inhibition","-164.25"
"CINS using virtual temperature","-126.58"
"Equilibrum Level","557.77"
"Equilibrum Level using virtual temperature","547.23"
"Level of Free Convection","586.03"
"LFCT using virtual temperature","612.59"
"Bulk Richardson Number","0.26"
"Bulk Richardson Number using CAPV","1.34"
"Temp [K] of the Lifted Condensation Level","292.87"
"Pres [hPa] of the Lifted Condensation Level","942.23"
"Mean mixed layer potential temperature","297.91"
"Mean mixed layer mixing ratio","15.62"
"1000 hPa to 500 hPa thickness","5775.00"
"Precipitable water [mm] for entire sounding","51.63"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150317/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.23"
"Lifted index","-2.48"
"LIFT computed using virtual temperature","-3.19"
"SWEAT index","207.61"
"K index","34.10"
"Cross totals index","20.50"
"Vertical totals index","22.30"
"Totals totals index","42.80"
"Convective Available Potential Energy","1052.03"
"CAPE using virtual temperature","1223.75"
"Convective Inhibition","-16.26"
"CINS using virtual temperature","-9.72"
"Equilibrum Level","156.64"
"Equilibrum Level using virtual temperature","156.54"
"Level of Free Convection","876.76"
"LFCT using virtual temperature","893.50"
"Bulk Richardson Number","86.83"
"Bulk Richardson Number using CAPV","101.00"
"Temp [K] of the Lifted Condensation Level","294.52"
"Pres [hPa] of the Lifted Condensation Level","930.28"
"Mean mixed layer potential temperature","300.68"
"Mean mixed layer mixing ratio","17.58"
"1000 hPa to 500 hPa thickness","5783.00"
"Precipitable water [mm] for entire sounding","54.09"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150318/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.37"
"Lifted index","1.12"
"LIFT computed using virtual temperature","0.88"
"SWEAT index","190.41"
"K index","34.60"
"Cross totals index","19.00"
"Vertical totals index","23.50"
"Totals totals index","42.50"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","291.30"
"Pres [hPa] of the Lifted Condensation Level","916.31"
"Mean mixed layer potential temperature","298.68"
"Mean mixed layer mixing ratio","14.54"
"1000 hPa to 500 hPa thickness","5782.00"
"Precipitable water [mm] for entire sounding","51.79"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150318/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.24"
"Lifted index","-1.92"
